operativo|id_casillero|padre|tipoc|tipoc__denominacion|casillero|orden|ok|nombre|tipovar|longitud|tipoe|aclaracion|salto|unidad_analisis|cantidad_resumen|irrepetible|despliegue|ver_id|optativo|orden_total|ultimo_ancestro|formulario_principal|var_name|var_name_especial|expresion_habilitar|valor_ns_nc|valor_sin_dato|leer|calculada|libre|especial
repsic211|SC15/2|SC15|O|opción|2|2|✔|No||||||||||||20;110;120;320;2|F:F2||||||||||
repsic211|SC15/88|SC15|O|opción|88|3|✔|NS||||||||||||20;110;120;320;3|F:F2||||||||||
repsic211|SC15/99|SC15|O|opción|99|4|✔|NC||||||||||||20;110;120;320;4|F:F2||||||||||
repsic211|SC15/777|SC15|O|opción|777|10|✔|S/D||||||||||||20;110;120;320;10|F:F2||||||||||
repsic211|SC16|MG|P|pregunta|SC16|340|✔|De acuerdo a la identidad de género, ¿se considera...|opciones||G-S|Recuerde leer todas las opciones excepto No sabe/no contesta, antes de registrar la respuesta||||true||||20;110;120;340|F:F2||sc16||||||||
repsic211|SC16/1|SC16|O|opción|1|1|✔|Varón?||||||||||||20;110;120;340;1|F:F2||||||||||
repsic211|SC16/2|SC16|O|opción|2|2|✔|Mujer?||||||||||||20;110;120;340;2|F:F2||||||||||
repsic211|SC16/3|SC16|O|opción|3|3|✔|varón trans? (trans de mujer a varón)||||||||||||20;110;120;340;3|F:F2||||||||||
repsic211|SC16/4|SC16|O|opción|4|4|✔|mujer trans? (trans de varón a mujer)||||||||||||20;110;120;340;4|F:F2||||||||||
repsic211|SC16/5|SC16|O|opción|5|5|✔|travesti?||||||||||||20;110;120;340;5|F:F2||||||||||
repsic211|SC16/6|SC16|O|opción|6|6|✔|otro?||||||||||||20;110;120;340;6|F:F2||||||||||
repsic211|SC16/88|SC16|O|opción|88|8|✔|NS||||||||||||20;110;120;340;8|F:F2||||||||||
repsic211|SC16/99|SC16|O|opción|99|9|✔|NC||||||||||||20;110;120;340;9|F:F2||||||||||
repsic211|SC16/777|SC16|O|opción|777|12|✔|S/D||||||||||||20;110;120;340;12|F:F2||||||||||
repsic211|SC17|MG|P|pregunta|SC17|400|✔|¿Qué servicio de salud utiliza habitualmente?|||G-M|Recuerde leer todas las opciones y registrar sólo lo que efectivamente utiliza||||true||||20;110;120;400|F:F2||||||||||
repsic211|SC17/1|SC17|OM|opción múltiple|1|1|!opciones|Centro de salud o sala de salud públicos / CESAC|si_no_nn|||||||||||20;110;120;400;1|F:F2||sc17_1||||||||
repsic211|SC17/1/1|SC17/1|O|opción|1|1|✔|Sí||||||||||||20;110;120;400;1;1|F:F2||||||||||
repsic211|SC17/1/2|SC17/1|O|opción|2|2|✔|No||||||||||||20;110;120;400;1;2|F:F2||||||||||
repsic211|SC17/1/88|SC17/1|O|opción|88|3|✔|NS||||||||||||20;110;120;400;1;3|F:F2||||||||||
repsic211|SC17/1/99|SC17/1|O|opción|99|4|✔|NC||||||||||||20;110;120;400;1;4|F:F2||||||||||
repsic211|SC17/1/777|SC17/1|O|opción|777|5|✔|S/D||||||||||||20;110;120;400;1;5|F:F2||||||||||
repsic211|SC17/2|SC17|OM|opción múltiple|2|2|!opciones|Consultorio o guardia de un hospital público|si_no_nn|||||||||||20;110;120;400;2|F:F2||sc17_2||||||||
repsic211|SC17/2/1|SC17/2|O|opción|1|1|✔|Sí||||||||||||20;110;120;400;2;1|F:F2||||||||||
repsic211|SC17/2/2|SC17/2|O|opción|2|2|✔|No||||||||||||20;110;120;400;2;2|F:F2||||||||||
repsic211|SC17/2/88|SC17/2|O|opción|88|3|✔|NS||||||||||||20;110;120;400;2;3|F:F2||||||||||
repsic211|SC17/2/99|SC17/2|O|opción|99|4|✔|NC||||||||||||20;110;120;400;2;4|F:F2||||||||||
repsic211|SC17/2/777|SC17/2|O|opción|777|5|✔|S/D||||||||||||20;110;120;400;2;5|F:F2||||||||||
repsic211|SC17/3|SC17|OM|opción múltiple|3|3|!opciones|Establecimiento de obra social|si_no_nn|||||||||||20;110;120;400;3|F:F2||sc17_3||||||||
repsic211|SC17/3/1|SC17/3|O|opción|1|1|✔|Sí||||||||||||20;110;120;400;3;1|F:F2||||||||||
repsic211|SC17/3/2|SC17/3|O|opción|2|2|✔|No||||||||||||20;110;120;400;3;2|F:F2||||||||||
repsic211|SC17/3/88|SC17/3|O|opción|88|3|✔|NS||||||||||||20;110;120;400;3;3|F:F2||||||||||
repsic211|SC17/3/99|SC17/3|O|opción|99|4|✔|NC||||||||||||20;110;120;400;3;4|F:F2||||||||||
repsic211|SC17/3/777|SC17/3|O|opción|777|5|✔|S/D||||||||||||20;110;120;400;3;5|F:F2||||||||||
repsic211|SC17/4|SC17|OM|opción múltiple|4|4|!opciones|Otro|si_no_nn|||especificar||||||||20;110;120;400;4|F:F2||sc17_4||||||||
repsic211|SC17/4/1|SC17/4|O|opción|1|1|✔|Sí||||||||||||20;110;120;400;4;1|F:F2||||||||||
repsic211|sc17_esp|SC17/4/1|P|pregunta|sc17_esp|1|✔||texto|pagina||||||true|solo_variable|-||20;110;120;400;4;1;1|F:F2||sc17_esp||||||||
repsic211|SC17/4/2|SC17/4|O|opción|2|2|✔|No||||||||||||20;110;120;400;4;2|F:F2||||||||||
repsic211|SC17/4/88|SC17/4|O|opción|88|3|✔|NS||||||||||||20;110;120;400;4;3|F:F2||||||||||
repsic211|SC17/4/99|SC17/4|O|opción|99|4|✔|NC||||||||||||20;110;120;400;4;4|F:F2||||||||||
repsic211|SC17/4/777|SC17/4|O|opción|777|5|✔|S/D||||||||||||20;110;120;400;4;5|F:F2||||||||||
repsic211|MG/pers10|MG|TEXTO|texto aclaratorio sin pregunta|pers10|420|⛔|Sólo para las personas de 10 años o más. Para el resto, fin del cuestionario||||||||||-||20;110;120;420|F:F2||||||||||
repsic211|SC18|MG|P|pregunta|SC18|430|✔|¿Realizó la semana pasada alguna actividad para obtener dinero?|si_no|||||||true||||20;110;120;430|F:F2||sc18||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC18/1|SC18|O|opción|1|1|✔|Sí||||||||||||20;110;120;430;1|F:F2||||||||||
repsic211|SC18/2|SC18|O|opción|2|2|✔|No|||||SC20/1|||||||20;110;120;430;2|F:F2||||||||||
repsic211|SC18/777|SC18|O|opción|777|3|✔|S/D||||||||||||20;110;120;430;3|F:F2||||||||||
repsic211|SC19|MG|P|pregunta|SC19|450|✔|¿Qué actividad realizó?|||G-M|Recuerde leer todas las opciones y registrar sólo lo que efectivamente realizó la semana pasada||||true||||20;110;120;450|F:F2||||||||||
repsic211|SC19/1|SC19|OM|opción múltiple|1|1|!opciones|Cartoneo|si_no_nn|||||||||||20;110;120;450;1|F:F2||sc19_1||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC19/1/1|SC19/1|O|opción|1|1|✔|Sí||||||||||||20;110;120;450;1;1|F:F2||||||||||
repsic211|SC19/1/2|SC19/1|O|opción|2|2|✔|No||||||||||||20;110;120;450;1;2|F:F2||||||||||
repsic211|SC19/1/88|SC19/1|O|opción|88|3|✔|NS||||||||||||20;110;120;450;1;3|F:F2||||||||||
repsic211|SC19/1/99|SC19/1|O|opción|99|4|✔|NC||||||||||||20;110;120;450;1;4|F:F2||||||||||
repsic211|SC19/1/777|SC19/1|O|opción|777|5|✔|S/D||||||||||||20;110;120;450;1;5|F:F2||||||||||
repsic211|SC19/2|SC19|OM|opción múltiple|2|2|!opciones|Venta ambulante|si_no_nn|||||||||||20;110;120;450;2|F:F2||sc19_2||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC19/2/1|SC19/2|O|opción|1|1|✔|Sí||||||||||||20;110;120;450;2;1|F:F2||||||||||
repsic211|SC19/2/2|SC19/2|O|opción|2|2|✔|No||||||||||||20;110;120;450;2;2|F:F2||||||||||
repsic211|SC19/2/88|SC19/2|O|opción|88|3|✔|NS||||||||||||20;110;120;450;2;3|F:F2||||||||||
repsic211|SC19/2/99|SC19/2|O|opción|99|4|✔|NC||||||||||||20;110;120;450;2;4|F:F2||||||||||
repsic211|SC19/2/777|SC19/2|O|opción|777|5|✔|S/D||||||||||||20;110;120;450;2;5|F:F2||||||||||
repsic211|SC19/3|SC19|OM|opción múltiple|3|3|!opciones|Changas|si_no_nn|||||||||||20;110;120;450;3|F:F2||sc19_3||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC19/3/1|SC19/3|O|opción|1|1|✔|Sí||||||||||||20;110;120;450;3;1|F:F2||||||||||
repsic211|SC19/3/2|SC19/3|O|opción|2|2|✔|No||||||||||||20;110;120;450;3;2|F:F2||||||||||
repsic211|SC19/3/88|SC19/3|O|opción|88|3|✔|NS||||||||||||20;110;120;450;3;3|F:F2||||||||||
repsic211|SC19/3/99|SC19/3|O|opción|99|4|✔|NC||||||||||||20;110;120;450;3;4|F:F2||||||||||
repsic211|SC19/3/777|SC19/3|O|opción|777|5|✔|S/D||||||||||||20;110;120;450;3;5|F:F2||||||||||
repsic211|SC19/4|SC19|OM|opción múltiple|4|4|!opciones|Pide dinero|si_no_nn|||||||||||20;110;120;450;4|F:F2||sc19_4||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC19/4/1|SC19/4|O|opción|1|1|✔|Sí||||||||||||20;110;120;450;4;1|F:F2||||||||||
repsic211|SC19/4/2|SC19/4|O|opción|2|2|✔|No||||||||||||20;110;120;450;4;2|F:F2||||||||||
repsic211|SC19/4/88|SC19/4|O|opción|88|3|✔|NS||||||||||||20;110;120;450;4;3|F:F2||||||||||
repsic211|SC19/4/99|SC19/4|O|opción|99|4|✔|NC||||||||||||20;110;120;450;4;4|F:F2||||||||||
repsic211|SC19/4/777|SC19/4|O|opción|777|5|✔|S/D||||||||||||20;110;120;450;4;5|F:F2||||||||||
repsic211|SC19/5|SC19|OM|opción múltiple|5|5|!opciones|Trabaja en relación de dependencia|si_no_nn|||||||||||20;110;120;450;5|F:F2||sc19_5||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC19/5/1|SC19/5|O|opción|1|1|✔|Sí||||||||||||20;110;120;450;5;1|F:F2||||||||||
repsic211|SC19/5/2|SC19/5|O|opción|2|2|✔|No||||||||||||20;110;120;450;5;2|F:F2||||||||||
repsic211|SC19/5/88|SC19/5|O|opción|88|3|✔|NS||||||||||||20;110;120;450;5;3|F:F2||||||||||
repsic211|SC19/5/99|SC19/5|O|opción|99|4|✔|NC||||||||||||20;110;120;450;5;4|F:F2||||||||||
repsic211|SC19/5/777|SC19/5|O|opción|777|5|✔|S/D||||||||||||20;110;120;450;5;5|F:F2||||||||||
repsic211|SC19/6|SC19|OM|opción múltiple|6|6|!opciones|Otro|si_no_nn|||especificar||||||||20;110;120;450;6|F:F2||sc19_6||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC19/6/1|SC19/6|O|opción|1|1|✔|Sí||||||||||||20;110;120;450;6;1|F:F2||||||||||
repsic211|sc19_esp|SC19/6/1|P|pregunta|sc19_esp|1|✔||texto|pagina||||||true|solo_variable|-||20;110;120;450;6;1;1|F:F2||sc19_esp||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC19/6/2|SC19/6|O|opción|2|2|✔|No||||||||||||20;110;120;450;6;2|F:F2||||||||||
repsic211|SC19/6/88|SC19/6|O|opción|88|3|✔|NS||||||||||||20;110;120;450;6;3|F:F2||||||||||
repsic211|SC19/6/99|SC19/6|O|opción|99|4|✔|NC||||||||||||20;110;120;450;6;4|F:F2||||||||||
repsic211|SC19/6/777|SC19/6|O|opción|777|5|✔|S/D||||||||||||20;110;120;450;6;5|F:F2||||||||||
repsic211|SC20|MG|P|pregunta|SC20|480|✔|¿Recibió ingresos en el mes pasado por...|||G-M|Recuerde leer todas las opciones y registrar sólo lo que efectivamente recibió||||true||||20;110;120;480|F:F2||||||||||
repsic211|SC20/1|SC20|OM|opción múltiple|1|1|!opciones|jubilación o pensión?|si_no_nn|||||||||||20;110;120;480;1|F:F2||sc20_1||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC20/1/1|SC20/1|O|opción|1|1|✔|Sí||||||||||||20;110;120;480;1;1|F:F2||||||||||
repsic211|SC20/1/2|SC20/1|O|opción|2|2|✔|No||||||||||||20;110;120;480;1;2|F:F2||||||||||
repsic211|SC20/1/88|SC20/1|O|opción|88|3|✔|NS||||||||||||20;110;120;480;1;3|F:F2||||||||||
repsic211|SC20/1/99|SC20/1|O|opción|99|4|✔|NC||||||||||||20;110;120;480;1;4|F:F2||||||||||
repsic211|SC20/1/777|SC20/1|O|opción|777|5|✔|S/D||||||||||||20;110;120;480;1;5|F:F2||||||||||
repsic211|SC20/2|SC20|OM|opción múltiple|2|2|!opciones|el programa Ciudadanía Porteña?|si_no_nn|||Tarjeta Cabal||||||||20;110;120;480;2|F:F2||sc20_2||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC20/2/1|SC20/2|O|opción|1|1|✔|Sí||||||||||||20;110;120;480;2;1|F:F2||||||||||
repsic211|SC20/2/2|SC20/2|O|opción|2|2|✔|No||||||||||||20;110;120;480;2;2|F:F2||||||||||
repsic211|SC20/2/88|SC20/2|O|opción|88|3|✔|NS||||||||||||20;110;120;480;2;3|F:F2||||||||||
repsic211|SC20/2/99|SC20/2|O|opción|99|4|✔|NC||||||||||||20;110;120;480;2;4|F:F2||||||||||
repsic211|SC20/2/777|SC20/2|O|opción|777|5|✔|S/D||||||||||||20;110;120;480;2;5|F:F2||||||||||
repsic211|SC20/3|SC20|OM|opción múltiple|3|3|!opciones|Asignación Universal por Hijo?|si_no_nn|||AUH||||||||20;110;120;480;3|F:F2||sc20_3||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC20/3/1|SC20/3|O|opción|1|1|✔|Sí||||||||||||20;110;120;480;3;1|F:F2||||||||||
repsic211|SC20/3/2|SC20/3|O|opción|2|2|✔|No||||||||||||20;110;120;480;3;2|F:F2||||||||||
repsic211|SC20/3/88|SC20/3|O|opción|88|3|✔|NS||||||||||||20;110;120;480;3;3|F:F2||||||||||
repsic211|SC20/3/99|SC20/3|O|opción|99|4|✔|NC||||||||||||20;110;120;480;3;4|F:F2||||||||||
repsic211|SC20/3/777|SC20/3|O|opción|777|5|✔|S/D||||||||||||20;110;120;480;3;5|F:F2||||||||||
repsic211|SC20/4|SC20|OM|opción múltiple|4|4|!opciones|otro subsidio o plan social, en dinero, del gobierno?|si_no_nn|||||||||||20;110;120;480;4|F:F2||sc20_4||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC20/4/1|SC20/4|O|opción|1|1|✔|Sí||||||||||||20;110;120;480;4;1|F:F2||||||||||
repsic211|SC20/4/2|SC20/4|O|opción|2|2|✔|No||||||||||||20;110;120;480;4;2|F:F2||||||||||
repsic211|SC20/4/88|SC20/4|O|opción|88|3|✔|NS||||||||||||20;110;120;480;4;3|F:F2||||||||||
repsic211|SC20/4/99|SC20/4|O|opción|99|4|✔|NC||||||||||||20;110;120;480;4;4|F:F2||||||||||
repsic211|SC20/4/777|SC20/4|O|opción|777|5|✔|S/D||||||||||||20;110;120;480;4;5|F:F2||||||||||
repsic211|SC20/5|SC20|OM|opción múltiple|5|5|!opciones|algún otro ingreso de dinero?|si_no_nn|||Incluye seguro de  desempleo o indemnización por despido) (especificar||||||||20;110;120;480;5|F:F2||sc20_5||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC20/5/1|SC20/5|O|opción|1|1|✔|Sí||||||||||||20;110;120;480;5;1|F:F2||||||||||
repsic211|sc20_esp|SC20/5/1|P|pregunta|sc20_esp|1|✔||texto|pagina||||||true|solo_variable|-||20;110;120;480;5;1;1|F:F2||sc20_esp||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC20/5/2|SC20/5|O|opción|2|2|✔|No||||||||||||20;110;120;480;5;2|F:F2||||||||||
repsic211|SC20/5/88|SC20/5|O|opción|88|3|✔|NS||||||||||||20;110;120;480;5;3|F:F2||||||||||
repsic211|SC20/5/99|SC20/5|O|opción|99|4|✔|NC||||||||||||20;110;120;480;5;4|F:F2||||||||||
repsic211|SC20/5/777|SC20/5|O|opción|777|5|✔|S/D||||||||||||20;110;120;480;5;5|F:F2||||||||||
repsic211|SC20/6|SC20|OM|opción múltiple|6|6|!opciones|No recibió ningún ingreso|si_no_nn|||||||||||20;110;120;480;6|F:F2||sc20_6||sc4 >=10  && sc4 <>888 && sc4 <>999 && sc4 <>777||||||
repsic211|SC20/6/1|SC20/6|O|opción|1|1|✔|Sí||||||||||||20;110;120;480;6;1|F:F2||||||||||
repsic211|SC20/6/2|SC20/6|O|opción|2|2|✔|No||||||||||||20;110;120;480;6;2|F:F2||||||||||
repsic211|SC20/6/88|SC20/6|O|opción|88|3|✔|NS||||||||||||20;110;120;480;6;3|F:F2||||||||||
repsic211|SC20/6/99|SC20/6|O|opción|99|4|✔|NC||||||||||||20;110;120;480;6;4|F:F2||||||||||
repsic211|SC20/6/777|SC20/6|O|opción|777|5|✔|S/D||||||||||||20;110;120;480;6;5|F:F2||||||||||
