operativo|id_casillero|padre|tipoc|tipoc__denominacion|casillero|orden|ok|nombre|tipovar|longitud|tipoe|aclaracion|salto|unidad_analisis|cantidad_resumen|irrepetible|despliegue|ver_id|optativo|orden_total|ultimo_ancestro|formulario_principal|var_name|var_name_especial|expresion_habilitar|valor_ns_nc|valor_sin_dato|leer|calculada|libre|especial
repsic211|cant62|O1/6|P|pregunta|cant62|2|✔|Mujer|numero|3||||||true|||true|10;30;30;6;2|F:F1||cant62||||||||
repsic211|cant63|O1/6|P|pregunta|cant63|3|✔|No se observa|numero|3||||||true|||true|10;30;30;6;3|F:F1||cant63||||||||
repsic211|cant64|O1/6|P|pregunta|cant64|4|✔|Total|numero|3||||||true||||10;30;30;6;4|F:F1||cant64||||||||
repsic211|cant_per|CG|CONS|consistencia|cant_per|900|⛔|La suma de la cantidad de personas no coincide con lo informado anteriormente||||||||true||atención||10;30;900|F:F1||||||||||
repsic211|LA|F:F1|B|bloque|LA|40|✔|Lugar de asentamiento||||Complete por observación||||true||-||10;40|F:F1||||||||||
repsic211|O2|LA|P|pregunta|O2|1|✔|La/s persona/s está/n asentada/s ...|opciones||O-S|||||true||||10;40;1|F:F1||o2||||||||
repsic211|O2/1|O2|O|opción|1|1|✔|en la vereda||||||||||||10;40;1;1|F:F1||||||||||
repsic211|O2/2|O2|O|opción|2|2|✔|en una plaza o parque||||||||||||10;40;1;2|F:F1||||||||||
repsic211|O2/3|O2|O|opción|3|3|✔|en un boulevard||||||||||||10;40;1;3|F:F1||||||||||
repsic211|O2/4|O2|O|opción|4|4|✔|en la entrada de un lugar de culto||||||||||||10;40;1;4|F:F1||||||||||
repsic211|O2/5|O2|O|opción|5|5|✔|en la entrada de un hospital público||||||||||||10;40;1;5|F:F1||||||||||
repsic211|O2/6|O2|O|opción|6|6|✔|bajo una autopista||||||||||||10;40;1;6|F:F1||||||||||
repsic211|O2/7|O2|O|opción|7|7|✔|en una terminal de micros, estación de tren o subterráneo||||||||||||10;40;1;7|F:F1||||||||||
repsic211|O2/8|O2|O|opción|8|8|✔|en la guardia de un hospital público|||||O4|||||||10;40;1;8|F:F1||||||||||
repsic211|O2/9|O2|O|opción|9|9|✔|en un cajero automático o la entrada de un banco||||||||||||10;40;1;9|F:F1||||||||||
repsic211|O2/10|O2|O|opción|10|10|✔|otros||||especificar||||||||10;40;1;10|F:F1||||||||||
repsic211|O2_esp|O2/10|P|pregunta|O2_esp|1|✔||texto|pagina||||||true|solo_variable|-||10;40;1;10;1|F:F1||o2_esp||||||||
repsic211|O2/777|O2|O|opción|777|12|✔|S/D||||||||||||10;40;1;12|F:F1||||||||||
repsic211|CLA|F:F1|B|bloque|CLA|50|✔|Características del lugar de asentamiento||||Complete por observación||||true||-||10;50|F:F1||||||||||
repsic211|O3|CLA|P|pregunta|O3|70|✔|En el lugar de asentamiento se observaron,...|||O-M|||||true||||10;50;70|F:F1||||||||||
repsic211|O3/1|O3|OM|opción múltiple|1|1|✔|muebles, enseres|si_no|||||||||||10;50;70;1|F:F1||o3_1||||||||
repsic211|O3/1/1|O3/1|O|opción|1|1|✔|Sí||||||||||||10;50;70;1;1|F:F1||||||||||
repsic211|O3/1/2|O3/1|O|opción|2|2|✔|No||||||||||||10;50;70;1;2|F:F1||||||||||
repsic211|O3/1/777|O3/1|O|opción|777|3|✔|S/D||||||||||||10;50;70;1;3|F:F1||||||||||
repsic211|O3/2|O3|OM|opción múltiple|2|2|✔|mascotas|si_no|||||||||||10;50;70;2|F:F1||o3_2||||||||
repsic211|O3/2/1|O3/2|O|opción|1|1|✔|Sí||||||||||||10;50;70;2;1|F:F1||||||||||
repsic211|O3/2/2|O3/2|O|opción|2|2|✔|No||||||||||||10;50;70;2;2|F:F1||||||||||
repsic211|O3/2/777|O3/2|O|opción|777|3|✔|S/D||||||||||||10;50;70;2;3|F:F1||||||||||
repsic211|O3/3|O3|OM|opción múltiple|3|3|✔|material de trabajo (carro, artículos para la venta, etc.)|si_no|||||||||||10;50;70;3|F:F1||o3_3||||||||
repsic211|O3/3/1|O3/3|O|opción|1|1|✔|Sí||||||||||||10;50;70;3;1|F:F1||||||||||
repsic211|O3/3/2|O3/3|O|opción|2|2|✔|No||||||||||||10;50;70;3;2|F:F1||||||||||
repsic211|O3/3/777|O3/3|O|opción|777|3|✔|S/D||||||||||||10;50;70;3;3|F:F1||||||||||
repsic211|O3/4|O3|OM|opción múltiple|4|4|✔|construcción precaria (habitáculo de cartón, carpa, etc.)|si_no|||||||||||10;50;70;4|F:F1||o3_4||||||||
repsic211|O3/4/1|O3/4|O|opción|1|1|✔|Sí||||||||||||10;50;70;4;1|F:F1||||||||||
repsic211|O3/4/2|O3/4|O|opción|2|2|✔|No||||||||||||10;50;70;4;2|F:F1||||||||||
repsic211|O3/4/777|O3/4|O|opción|777|3|✔|S/D||||||||||||10;50;70;4;3|F:F1||||||||||
repsic211|O3/5|O3|OM|opción múltiple|5|5|✔|otros|si_no|||especificar||||||||10;50;70;5|F:F1||o3_5||||||||
repsic211|O3/5/1|O3/5|O|opción|1|1|✔|Sí||||||||||||10;50;70;5;1|F:F1||||||||||
repsic211|O3_esp|O3/5/1|P|pregunta|O3_esp|1|✔||texto|pagina||||||true||-||10;50;70;5;1;1|F:F1||o3_esp||||||||
repsic211|O3/5/2|O3/5|O|opción|2|2|✔|No||||||||||||10;50;70;5;2|F:F1||||||||||
repsic211|O3/5/777|O3/5|O|opción|777|3|✔|S/D||||||||||||10;50;70;5;3|F:F1||||||||||
repsic211|REA|F:F1|B|bloque|REA|70|✔|Realización de la entrevista||||||||true||-||10;70|F:F1||||||||||
repsic211|O4|REA|P|pregunta|O4|10|✔|Entrevista realizada|opciones|||||||true||||10;70;10|F:F1||o4||||||||
repsic211|O4/1|O4|O|opción|1|1|✔|Sí|||||Totalpers|||||||10;70;10;1|F:F1||||||||||
repsic211|O4/2|O4|O|opción|2|2|✔|No||||||||||||10;70;10;2|F:F1||||||||||
repsic211|O4/777|O4|O|opción|777|3|✔|S/D||||||||||||10;70;10;3|F:F1||||||||||
repsic211|O5|REA|P|pregunta|O5|20|✔|Razones de no realización de la entrevista|opciones|||||||true||||10;70;20|F:F1||o5||||||||
repsic211|O5/1|O5|O|opción|1|1|✔|Rechazo rotundo||||||||||||10;70;20;1|F:F1||||||||||
repsic211|O5/2|O5|O|opción|2|2|✔|El lugar de localización es inaccesible||||||||||||10;70;20;2|F:F1||||||||||
repsic211|O5/3|O5|O|opción|3|3|✔|Problemas de seguridad||||||||||||10;70;20;3|F:F1||||||||||
repsic211|O5/4|O5|O|opción|4|4|✔|La persona está durmiendo||||||||||||10;70;20;4|F:F1||||||||||
repsic211|O5/5|O5|O|opción|5|5|✔|Otra||||especificar||||||||10;70;20;5|F:F1||||||||||
repsic211|O5_esp|O5/5|P|pregunta|O5_esp|1|✔||texto|pagina||||||true|solo_variable|-||10;70;20;5;1|F:F1||o5_esp||||||||
repsic211|O5/777|O5|O|opción|777|6|✔|S/D||||||||||||10;70;20;6|F:F1||||||||||
repsic211|F2|F:F1|BF|Botón para formulario|F2|80|✔|Personas||||||personas|12|true||||10;80|F:F1||||||||||
repsic211|Totalpers|F:F1|P|pregunta|Totalpers|82|✔|Total de Personas Observadas|numero|2||||||true||||10;82|F:F1||totalpers||||||||
repsic211|OB|F:F1|B|bloque|OB|85|✔|Observaciones||||||||true||-||10;85|F:F1||||||||||
repsic211|obs|OB|P|pregunta|obs|10|✔|Observaciones|texto|pagina||||||true|solo_variable||true|10;85;10|F:F1||obs||||||||
repsic211|F:F2||F|formulario|F2|20|✔|||||||personas||||||20|F:F2||||||||||
repsic211|CGrup|F:F2|B|bloque|CGrup|110|✔|Datos Individuales||||Complete por observación||||true||-||20;110|F:F2||||||||||
repsic211|MG|CGrup|MATRIZ|matriz (de varias preguntas)|MG|120|✔|||||||||true||-||20;110;120|F:F2||||||||||
repsic211|MG/persgral|MG|TEXTO|texto aclaratorio sin pregunta|persgral|98|⛔|Para todas las personas||||||||||-||20;110;120;98|F:F2||||||||||
repsic211|SC0|MG|P|pregunta|SC0|100|✔|N° de persona observada|numero|3||||||true|calculada|||20;110;120;100|F:F2||p0|p0|||||||
repsic211|SC1|MG|P|pregunta|SC1|110|✔|¿Cuál es su nombre?|texto|pagina||Registre nombre o apodo||||true||||20;110;120;110|F:F2||sc1|sc1|||||||
repsic211|SC2|MG|P|pregunta|SC2|120|✔|¿Qué parentesco tiene con el respondiente?|opciones|||Anote código||||true||||20;110;120;120|F:F2||sc2|sc2|||||||
repsic211|SC2/1|SC2|O|opción|1|1|✔|Respondiente||||||||||||20;110;120;120;1|F:F2||||||||||
repsic211|SC2/2|SC2|O|opción|2|2|✔|Cónyuge/pareja||||||||||||20;110;120;120;2|F:F2||||||||||
repsic211|SC2/3|SC2|O|opción|3|3|✔|Padre/madre/suegro/a||||||||||||20;110;120;120;3|F:F2||||||||||
repsic211|SC2/4|SC2|O|opción|4|4|✔|Hijo/a, hijastro/a||||||||||||20;110;120;120;4|F:F2||||||||||
repsic211|SC2/5|SC2|O|opción|5|5|✔|Hermano/a||||||||||||20;110;120;120;5|F:F2||||||||||
repsic211|SC2/6|SC2|O|opción|6|6|✔|Otro familiar||||||||||||20;110;120;120;6|F:F2||||||||||
repsic211|SC2/7|SC2|O|opción|7|7|✔|Otro no familiar||||||||||||20;110;120;120;7|F:F2||||||||||
repsic211|SC2/88|SC2|O|opción|88|14|✔|NS||||||||||||20;110;120;120;14|F:F2||||||||||
repsic211|SC2/99|SC2|O|opción|99|15|✔|NC||||||||||||20;110;120;120;15|F:F2||||||||||
repsic211|SC2/777|SC2|O|opción|777|16|✔|S/D||||||||||||20;110;120;120;16|F:F2||||||||||
repsic211|SC3|MG|P|pregunta|SC3|140|✔|Sexo|opciones|||Anote código||||true||||20;110;120;140|F:F2||sc3||||||||
repsic211|SC3/1|SC3|O|opción|1|1|✔|Varón||||||||||||20;110;120;140;1|F:F2||||||||||
repsic211|SC3/2|SC3|O|opción|2|2|✔|Mujer||||||||||||20;110;120;140;2|F:F2||||||||||
repsic211|SC3/88|SC3|O|opción|88|3|✔|NS||||||||||||20;110;120;140;3|F:F2||||||||||
repsic211|SC3/99|SC3|O|opción|99|4|✔|NC||||||||||||20;110;120;140;4|F:F2||||||||||
repsic211|SC3/777|SC3|O|opción|777|5|✔|S/D||||||||||||20;110;120;140;5|F:F2||||||||||
repsic211|SC4|MG|P|pregunta|SC4|150|✔|¿Cuántos años cumplidos tiene?|numero|3||Si tiene menos de un año, anote 0 (cero),888-NS, 999 NC,777 S/D||||true||||20;110;120;150|F:F2||sc4||||||||
